1882.574,-0.689
1882.577,-0.587
1882.579,-0.429
1882.582,-0.428
1882.585,-0.345
1882.588,-0.298
1882.590,-0.270
1882.593,-0.294
1882.596,-0.321
1882.599,-0.296
1882.601,-0.301
1882.604,-0.328
1882.607,-0.354
1882.610,-0.311
1882.612,-0.284
1882.615,-0.310
1882.618,-0.328
1882.621,-0.211
1882.623,-0.208
1882.626,-0.270
1882.629,-0.310
1882.631,-0.254
1882.634,-0.256
1882.637,-0.093
1882.640,-0.094
1882.642,-0.149
1882.645,-0.141
1882.648,-0.004
1882.651,0.046
1882.653,-0.030
1882.656,-0.097
1882.659,-0.136
1882.662,-0.190
1882.664,-0.421
1882.667,-0.470
1882.670,-0.453
1882.673,-0.398
1882.675,-0.314
1882.678,-0.245
1882.681,-0.197
1882.684,-0.231
1882.686,-0.266
1882.689,-0.253
1882.692,-0.131
1882.695,-0.165
1882.697,-0.193
1882.700,-0.181
1882.703,-0.392
1882.705,-0.383
1882.708,-0.317
1882.711,-0.330
1882.714,-0.293
1882.716,-0.264
1882.719,-0.380
1882.722,-0.485
1882.725,-0.548
1882.727,-0.351
1882.730,-0.328
1882.733,-0.393
1882.736,-0.549
1882.738,-0.604
1882.741,-0.599
1882.744,-0.552
1882.747,-0.401
1882.749,-0.373
1882.752,-0.446
1882.755,-0.548
1882.758,-0.573
1882.760,-0.415
1882.763,-0.464
1882.766,-0.317
1882.768,-0.472
1882.771,-0.462
1882.774,-0.599
1882.777,-0.732
1882.779,-0.814
1882.782,-0.839
1882.785,-0.972
1882.788,-1.143
1882.790,-1.085
1882.793,-1.026
1882.796,-0.950
1882.799,-0.859
1882.801,-0.908
1882.804,-0.943
1882.807,-0.854
1882.810,-0.906
1882.812,-0.849
1882.815,-0.905
1882.818,-0.930
1882.821,-0.780
1882.823,-0.749
1882.826,-0.784
1882.829,-0.752
1882.832,-0.757
1882.834,-0.845
1882.837,-1.055
1882.840,-1.107
1882.842,-1.162
1882.845,-1.175
1882.848,-1.156
1882.851,-1.014
1882.853,-0.816
1882.856,-0.701
1882.859,-0.804
1882.862,-1.062
1882.864,-1.147
1882.867,-1.189
1882.870,-1.152
1882.873,-1.044
1882.875,-1.037
1882.878,-0.948
1882.881,-1.130
1882.884,-1.048
1882.886,-0.969
1882.889,-0.952
1882.892,-0.886
1882.895,-1.028
1882.897,-1.051
1882.900,-1.031
1882.903,-1.028
1882.906,-1.203
1882.908,-1.497
1882.911,-1.640
1882.914,-1.669
1882.916,-1.529
1882.919,-1.534
1882.922,-1.549
1882.925,-1.509
1882.927,-1.526
1882.930,-1.734
1882.933,-1.870
1882.936,-1.640
1882.938,-1.345
1882.941,-1.373
1882.944,-1.338
1882.947,-1.395
1882.949,-1.553
1882.952,-1.823
1882.955,-1.748
1882.958,-1.475
1882.960,-1.202
1882.963,-1.079
1882.966,-1.236
1882.969,-1.367
1882.971,-1.257
1882.974,-1.056
1882.977,-1.097
1882.979,-1.061
1882.982,-0.905
1882.985,-0.795
1882.988,-0.883
1882.990,-0.819
1882.993,-0.824
1882.996,-0.961
1882.999,-1.310
1883.001,-1.629
1883.004,-1.587
1883.007,-1.535
1883.010,-1.372
1883.012,-1.496
1883.015,-1.376
1883.018,-1.365
1883.021,-1.199
1883.023,-1.043
1883.026,-1.143
1883.029,-1.370
1883.031,-1.318
1883.034,-1.141
1883.037,-1.071
1883.040,-1.296
1883.042,-1.330
1883.045,-1.309
1883.048,-1.375
1883.051,-1.466
1883.053,-1.265
1883.056,-1.200
1883.059,-1.096
1883.062,-1.097
1883.064,-1.008
1883.067,-1.026
1883.070,-0.819
1883.073,-0.657
1883.075,-0.651
1883.078,-0.631
1883.081,-0.672
1883.084,-0.931
1883.086,-1.300
1883.089,-1.481
1883.092,-1.616
1883.094,-1.545
1883.097,-1.447
1883.100,-1.266
1883.103,-1.170
1883.105,-1.181
1883.108,-1.327
1883.111,-1.482
1883.114,-1.234
1883.116,-1.185
1883.119,-0.954
1883.122,-1.059
1883.125,-1.294
1883.127,-1.640
1883.130,-1.738
1883.133,-1.587
1883.136,-1.419
1883.138,-1.204
1883.141,-1.007
1883.144,-1.025
1883.147,-0.793
1883.149,-0.687
1883.152,-0.638
1883.155,-0.647
1883.158,-0.551
1883.160,-0.588
1883.163,-0.598
1883.166,-0.598
1883.168,-0.749
1883.171,-0.957
1883.174,-0.728
1883.177,-0.614
1883.179,-0.603
1883.182,-0.501
1883.185,-0.397
1883.188,-0.314
1883.190,-0.381
1883.193,-0.351
1883.196,-0.333
1883.199,-0.196
1883.201,-0.171
1883.204,-0.245
1883.207,-0.246
1883.210,-0.263
1883.212,-0.382
1883.215,-0.307
1883.218,-0.458
1883.221,-0.398
1883.223,-0.302
1883.226,-0.557
1883.229,-0.498
1883.232,-0.453
1883.234,-0.376
1883.237,-0.345
1883.240,-0.372
1883.242,-0.377
1883.245,-0.324
1883.248,-0.333
1883.251,-0.143
1883.253,-0.168
1883.256,-0.258
1883.259,-0.259
1883.262,-0.312
1883.264,-0.344
1883.267,-0.248
1883.270,-0.246
1883.273,-0.289
1883.275,-0.402
1883.278,-0.510
1883.281,-0.585
1883.284,-0.563
1883.286,-0.491
1883.289,-0.517
1883.292,-0.530
1883.295,-0.539
1883.297,-0.314
1883.300,-0.457
1883.303,-0.710
1883.305,-0.706
1883.308,-0.850
1883.311,-0.691
1883.314,-0.689
1883.316,-0.500
1883.319,-0.407
1883.322,-0.525
1883.325,-0.600
1883.327,-0.578
1883.330,-0.550
1883.333,-0.473
1883.336,-0.489
1883.338,-0.433
1883.341,-0.476
1883.344,-0.284
1883.347,-0.218
1883.349,-0.240
1883.352,-0.290
1883.355,-0.429
1883.358,-0.499
1883.360,-0.414
1883.363,-0.544
1883.366,-0.513
1883.369,-0.232
1883.371,-0.202
1883.374,-0.164
1883.377,-0.206
1883.379,-0.322
1883.382,-0.406
1883.385,-0.585
1883.388,-0.629
